,0,1
0,    25503194 1075860887462       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     someone  searching       1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                  find    match could      click   http   r1 adversend   u 318 l 5  4199108    href  http   r1 adversend   u 318 l 5  4199108   aol users click       thanks       hotwebcash      http   www hotwebcash                                                                          removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
1,    7873167 1075860887490       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     part time help needed     1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                  part time help needed  work  home  earn cash  earn  extra  300    part time    click    information  http   r1 adversend   u 320 l 5  4199108    href  http   r1 adversend   u 320 l 5  4199108   aol users click       thanks       hotwebcash      http   www hotwebcash                                                                          removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
2,    19192454 1075860887517       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto      email could   worth  10 000     1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                  iwon   web portal like yahoo  gives away tons  cash prizes      25 million   purchase necessary  see site   official rules  odds  prize information  promotion ends 3 31 02   click     http   r1 adversend   u 321 l 5  4199108    href  http   r1 adversend   u 321 l 5  4199108   aol users click         thanks       hotwebcash      http   www hotwebcash                                                                           removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
3,    8829953 1075860887541       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto      lose pounds guaranteed     1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                      hotwebcash                     programs  tailored   specific needs     eat  foods  love     free consultation   obligation      lose pounds   earn dollars     guaranteed  work   money back        click    information     http   r1 adversend   u 322 l 5  4199108    href  http   r1 adversend   u 322 l 5  4199108   aol users click         thanks       hotwebcash      http   www hotwebcash                                                                           removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
4,    27338117 1075860887569       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     confirmation  87717    1         ansi x3 4 1968         hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged    award  xp359677p  congratulations    database  selected  name  one    exclusive free gift award winners  choose  one    remarkable items       perceived value  high   285 00        soon       absolutely free     choose  free gift        1  state   art vivitar  ic 1200 35mm  flash       camera      free   2  genuine full carat  cz diamond necklace        earring set      free   3  complete 10pc  set  japanese carving knives            free   4   famed  curve  acousti pure  radio      free   5  superbly crafted jacques br il  faux leather       briefcase      free   click   http   r1 adversend   u 323 l 5  4199108    href  http   r1 adversend   u 323 l 5  4199108   aol users click       important   must claim  prize  midnight   march 31  2002    otherwise   could  withdrawn   awarded  someone else   thanks  hotwebcash  http   www hotwebcash                                                                         removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
5,    6057994 1075860887229       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto       one free cell phone waiting     1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                    want  cell phone     giving away free phones  click   claim    get  50 cash  free nationwide long distance    http   r1 adversend   u 288 l 5  4199108    href  http   r1 adversend   u 288 l 5  4199108   aol users click       thanks       hotwebcash      http   www hotwebcash                                                                          removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
6,    12562193 1075860887253       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     take  survey  win  free new computer      1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                  complete  short survey   automatically entered  win  new pentium 4 computer    entered already  enter   increase   chances  winning    click     http   r1 adversend   u 290 l 5  4199108    href  http   r1 adversend   u 290 l 5  4199108   aol users click         thanks       hotwebcash      http   www hotwebcash                                                                           removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
7,    8307461 1075860887277       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     free grants    need     1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                     turned   receiving   loan   bank   poor credit    credit  bankruptcy   private foundations   interested   credit ratings   demonstrated need      demonstrate  genuine need     apply   grant     much easier  receive  grant  mail    private foundation   local bank      much  lenient  imagine  getting  check  payable      mail   money  never   pay back     show    http   r1 adversend   u 303 l 5  4199108    href  http   r1 adversend   u 303 l 5  4199108   aol users click       please pass  letter along  someone   feel could use  help   thanks       hotwebcash      http   www hotwebcash                                                                          removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
8,    3520246 1075860887301       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     take  survey  win  free new computer      1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                  complete  short survey   automatically entered  win  new pentium 4 computer    entered already  enter   increase   chances  winning    click     http   r1 adversend   u 304 l 5  4199108    href  http   r1 adversend   u 304 l 5  4199108   aol users click         thanks       hotwebcash      http   www hotwebcash                                                                           removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
9,    8313297 1075860887329       tue  3 feb 2004 18 14 47  0800      hotwebcash lists adversend      presto     overdue movie      1         us          hotwebcash newsletter  hotwebcash lists adversend      presto  kevin       ou na cn recipients cn kpresto              kevin presto mar2002 1 presto  kevin   junk e mail    presto k    kpresto  non privileged                    hotwebcash                    saw  online  movie    thought   right away   click     http   r1 adversend   u 306 l 5  4199108    href  http   r1 adversend   u 306 l 5  4199108   aol users click          believe   exactly    looking     thanks       hotwebcash      http   www hotwebcash                                                                           removed   mailing list  click    http   www adversend  u  l hotwebcash e kevin presto ubswenergy     href  http   www adversend  u  l hotwebcash e kevin presto ubswenergy    aol users click   unsubscribe              reply   email   word  remove             kevin presto ubswenergy    adversend recipient  kevin presto ubswenergy   adversend userid  hotwebcash                                                                  ,presto-k
